이닝,스코어 상황,O 카운트,B 카운트,S 카운트,키,몸무게,키구간,몸무게구간,주력,투수 손,도루 성공 여부
2,+2,2,3,2,184.0,85.0,180–184,80–89,3.5,0,0
9,-2,1,1,1,178.0,73.0,175–179,70–79,7.0,0,1
3,-1,1,2,1,174.0,82.0,170–174,80–89,4.7,1,1
4,+1,1,3,2,180.0,75.0,180–184,70–79,6.6,0,1
6,-1,2,1,0,180.0,75.0,180–184,70–79,6.6,0,1
1,+0,0,0,1,172.0,76.0,170–174,70–79,9.1,0,0
2,-2,3,1,1,178.0,82.0,175–179,80–89,5.8,1,1
5,+2,2,3,1,172.0,76.0,170–174,70–79,9.1,0,1
5,+1,1,1,0,188.0,99.0,185+,90–99,3.9,1,1
6,-1,2,2,2,179.0,85.0,175–179,80–89,4.5,0,1
2,+1,2,2,1,185.0,100.0,185+,100+,2.0,0,0
3,-1,0,3,2,165.0,68.0,<170,<70,7.4,0,1
7,+0,3,2,2,173.0,72.0,170–174,70–79,4.5,0,1
7,+0,2,3,0,186.0,88.0,185+,80–89,6.1,0,1
6,-1,0,1,0,178.0,73.0,175–179,70–79,7.0,1,0
1,+0,2,1,1,174.0,82.0,170–174,80–89,4.7,0,0
7,+2,0,2,0,178.0,96.0,175–179,90–99,3.6,0,0
3,+1,1,2,1,170.0,74.0,170–174,70–79,5.7,0,1
1,+0,2,1,2,185.0,83.0,185+,80–89,8.0,0,0
6,-1,2,0,1,181.0,75.0,180–184,70–79,3.9,0,0
6,+0,1,0,1,178.0,73.0,175–179,70–79,7.0,0,1
10,+0,0,2,1,178.0,73.0,175–179,70–79,7.0,0,1
11,+0,2,0,1,175.0,70.0,175–179,70–79,6.6,0,1
8,+3,2,1,2,176.0,75.0,175–179,70–79,8.0,0,1
8,+4,2,1,1,177.0,77.0,175–179,70–79,8.7,0,1
9,+4,1,0,1,172.0,76.0,170–174,70–79,9.1,0,1
4,+1,2,0,0,176.0,78.0,175–179,70–79,3.1,1,1
5,-1,0,2,1,180.0,80.0,180–184,80–89,6.2,0,0
2,-1,1,2,2,185.0,90.0,185+,90–99,2.2,0,1
5,+1,1,0,0,185.0,98.0,185+,90–99,2.4,0,1
5,-1,1,1,1,182.0,91.0,180–184,90–99,7.3,0,1
5,+0,2,2,0,178.0,72.0,175–179,70–79,5.5,0,1
6,+0,0,1,1,185.0,88.0,185+,80–89,6.4,0,1
6,+0,3,3,2,174.0,82.0,170–174,80–89,4.7,0,1
7,+0,2,2,2,184.0,85.0,180–184,80–89,4.4,0,1
4,-2,1,0,1,185.0,80.0,185+,80–89,7.8,0,1
8,-1,1,2,1,185.0,80.0,185+,80–89,7.8,0,1
2,+1,3,2,1,181.0,75.0,180–184,70–79,3.9,1,1
7,+1,0,1,1,178.0,73.0,175–179,70–79,7.0,0,1
1,+0,0,2,0,178.0,82.0,175–179,80–89,6.0,1,0
5,-2,0,1,2,171.0,67.0,170–174,<70,6.2,0,1
7,-1,0,0,2,180.0,75.0,180–184,70–79,6.6,1,0
9,-1,2,1,1,174.0,76.0,170–174,70–79,6.1,0,0
8,+4,2,3,2,183.0,87.0,180–184,80–89,2.4,0,1
3,+0,1,1,2,185.0,83.0,185+,80–89,8.0,0,1
2,+0,1,1,0,178.0,88.0,175–179,80–89,6.9,0,1
3,+0,1,0,2,175.0,70.0,175–179,70–79,6.6,0,1
6,+2,2,1,2,180.0,90.0,180–184,90–99,4.1,1,1
9,+5,2,1,1,178.0,73.0,175–179,70–79,7.0,0,1
3,+0,1,1,1,178.0,82.0,175–179,80–89,6.0,0,0
1,+0,0,0,1,183.0,88.0,180–184,80–89,6.2,1,1
5,-4,2,1,0,175.0,74.0,175–179,70–79,1.9,1,0
4,+4,2,1,0,177.0,85.0,175–179,80–89,5.0,1,1
6,-2,0,2,1,181.0,83.0,180–184,80–89,7.8,0,1
1,-4,0,1,0,163.0,62.0,<170,<70,7.7,0,1
6,-5,0,1,1,176.0,68.0,175–179,<70,4.3,0,0
2,+4,3,1,0,175.0,78.0,175–179,70–79,3.1,0,1
4,+4,0,1,0,180.0,75.0,180–184,70–79,6.6,0,0
8,+1,0,0,1,178.0,83.0,175–179,80–89,5.5,0,0
4,+4,0,1,1,178.0,72.0,175–179,70–79,5.5,0,1
6,+11,2,1,0,185.0,87.0,185+,80–89,5.8,1,1
4,-2,3,0,1,185.0,80.0,185+,80–89,3.9,1,1
8,+2,1,1,0,178.0,73.0,175–179,70–79,7.0,0,1
3,+1,1,1,1,185.0,88.0,185+,80–89,6.4,0,1
4,-2,1,2,0,163.0,62.0,<170,<70,7.7,0,0
7,+0,0,1,0,175.0,68.0,175–179,<70,4.8,0,1
7,+0,1,2,0,178.0,72.0,175–179,70–79,5.5,0,1
8,+1,1,3,2,185.0,88.0,185+,80–89,4.5,0,1
1,+1,3,2,2,187.0,98.0,185+,90–99,3.8,1,1
5,+1,3,3,2,163.0,62.0,<170,<70,7.7,1,1
6,-1,2,3,2,178.0,82.0,175–179,80–89,4.9,0,1
7,+2,1,2,1,174.0,65.0,170–174,<70,5.1,0,0
8,+2,2,3,2,185.0,98.0,185+,90–99,2.4,1,0
5,+0,2,1,1,165.0,77.0,<170,70–79,4.0,1,1
8,+3,1,1,0,179.0,79.0,175–179,70–79,5.1,0,1
3,+0,1,3,2,180.0,77.0,180–184,70–79,3.4,1,0
9,+1,2,0,1,185.0,105.0,185+,100+,4.9,0,1
3,+1,3,1,0,178.0,72.0,175–179,70–79,5.5,,1
6,+1,1,2,1,178.0,72.0,175–179,70–79,5.5,1,1
2,-2,3,3,2,176.0,75.0,175–179,70–79,8.0,,1
7,-3,2,3,2,184.0,98.0,180–184,90–99,2.4,0,1
7,+0,2,0,1,181.0,83.0,180–184,80–89,7.8,0,1
7,+0,3,2,0,175.0,70.0,175–179,70–79,6.6,0,1
8,-1,1,1,0,177.0,75.0,175–179,70–79,7.5,0,1
9,+0,3,2,0,183.0,90.0,180–184,90–99,3.0,0,1
1,+0,3,0,1,181.0,80.0,180–184,80–89,1.6,0,1
3,+0,1,1,0,174.0,82.0,170–174,80–89,4.7,0,1
4,+1,2,0,0,177.0,80.0,175–179,80–89,7.0,0,1
4,-1,2,1,0,181.0,80.0,180–184,80–89,1.6,0,0
5,+3,2,1,2,185.0,105.0,185+,100+,4.9,0,1
1,+1,1,1,2,175.0,78.0,175–179,70–79,3.1,0,0
5,+1,2,1,1,177.0,75.0,175–179,70–79,4.6,0,0
8,-2,1,3,2,177.0,77.0,175–179,70–79,8.7,0,1
3,-2,2,3,2,178.0,74.0,175–179,70–79,6.9,0,1
4,+2,0,0,1,181.0,83.0,180–184,80–89,7.8,0,0
3,+0,2,3,2,177.0,80.0,175–179,80–89,3.7,0,0
7,+0,2,1,0,178.0,73.0,175–179,70–79,7.0,0,1
10,+0,0,0,2,185.0,88.0,185+,80–89,6.4,0,1
11,+0,1,3,2,177.0,75.0,175–179,70–79,7.5,1,1
11,-1,0,0,0,174.0,65.0,170–174,<70,5.1,0,0
8,+3,1,1,0,176.0,75.0,175–179,70–79,8.0,0,1
3,-5,0,0,1,165.0,68.0,<170,<70,7.4,0,1
3,-5,1,3,2,178.0,82.0,175–179,80–89,6.0,0,0
7,+4,1,2,1,176.0,70.0,175–179,70–79,7.1,0,1
3,+0,0,0,1,180.0,75.0,180–184,70–79,6.6,1,1
4,+4,3,1,1,175.0,78.0,175–179,70–79,3.1,1,0
1,+2,0,2,2,188.0,105.0,185+,100+,1.6,0,1
4,+3,1,1,0,183.0,81.0,180–184,80–89,4.4,0,1
3,+0,0,0,1,178.0,74.0,175–179,70–79,6.9,0,0
1,+0,2,1,0,185.0,88.0,185+,80–89,6.4,1,1
2,+1,3,1,0,183.0,90.0,180–184,90–99,6.2,0,1
2,-2,2,3,2,175.0,79.0,175–179,70–79,5.4,1,1
6,-3,2,1,1,183.0,88.0,180–184,80–89,6.2,0,1
3,-3,1,3,2,184.0,85.0,180–184,80–89,3.5,0,1
1,+0,2,2,1,178.0,72.0,175–179,70–79,5.5,0,1
3,+0,2,2,1,175.0,70.0,175–179,70–79,6.6,0,0
6,+1,0,0,1,185.0,88.0,185+,80–89,4.5,0,0
10,+0,2,3,2,180.0,90.0,180–184,90–99,4.1,0,1
2,+1,1,2,2,178.0,74.0,175–179,70–79,6.9,1,1
1,+0,2,3,2,189.0,92.0,185+,90–99,4.3,1,1
8,+3,1,3,2,187.0,85.0,185+,80–89,3.9,0,0
8,+3,0,1,1,181.0,83.0,180–184,80–89,7.8,0,1
8,+3,2,1,2,178.0,83.0,175–179,80–89,5.5,0,1
1,+0,2,1,0,175.0,78.0,175–179,70–79,3.1,0,1
3,+2,1,3,1,165.0,68.0,<170,<70,7.4,1,1
5,-1,1,2,1,183.0,90.0,180–184,90–99,4.4,0,1
5,-1,2,1,1,179.0,79.0,175–179,70–79,5.1,0,1
2,+0,1,3,2,185.0,100.0,185+,100+,2.0,1,1
4,+0,1,0,1,189.0,75.0,185+,70–79,4.1,1,0
1,+0,1,1,2,185.0,80.0,185+,80–89,7.8,1,1
4,+0,1,0,1,182.0,88.0,180–184,80–89,,0,1
6,+2,1,2,0,181.0,73.0,180–184,70–79,3.7,0,0
8,-2,0,3,0,185.0,88.0,185+,80–89,6.4,0,1
3,+1,1,1,1,181.0,71.0,180–184,70–79,0.8,0,1
